,data,inad_total,saldo_total,concessao_total,juros_total,ipca,selic
0,2019-01-01,2.95,3237076.0,284019.0,24.46,0.32,6.5
1,2019-02-01,2.91,3247396.0,284219.0,24.79,0.43,6.5
2,2019-03-01,2.99,3273000.0,297678.0,25.07,0.75,6.5
3,2019-04-01,3.02,3272570.0,304796.0,25.13,0.57,6.5
4,2019-05-01,3.05,3291212.0,329959.0,24.96,0.13,6.5
5,2019-06-01,2.95,3301611.0,318959.0,24.85,0.01,6.5
6,2019-07-01,3.06,3296187.0,328991.0,24.74,0.19,6.5
7,2019-08-01,3.04,3333007.0,332306.0,24.85,0.11,6.0
8,2019-09-01,3.06,3368801.0,339983.0,24.07,-0.04,5.8
9,2019-10-01,3.03,3380309.0,350479.0,23.58,0.1,5.483870967741935
10,2019-11-01,3.0,3423121.0,347021.0,23.66,0.51,5.0
11,2019-12-01,2.94,3475872.0,404624.0,22.66,1.15,4.67741935483871
12,2020-01-01,3.0,3465268.0,321537.0,23.17,0.21,4.5
13,2020-02-01,3.04,3484672.0,307431.0,23.14,0.25,4.293103448275862
14,2020-03-01,3.18,3583416.0,395459.0,22.76,0.07,4.040322580645161
15,2020-04-01,3.29,3584113.0,296609.0,21.37,-0.31,3.75
16,2020-05-01,3.24,3596014.0,285392.0,20.54,-0.38,3.1451612903225805
17,2020-06-01,2.89,3623049.0,320959.0,19.14,0.26,2.675
18,2020-07-01,2.76,3670324.0,343837.0,18.91,0.36,2.25
19,2020-08-01,2.65,3742022.0,346119.0,18.49,0.24,2.0403225806451615
20,2020-09-01,2.43,3820914.0,368510.0,17.95,0.64,2.0
21,2020-10-01,2.35,3878657.0,352349.0,18.52,0.86,2.0
22,2020-11-01,2.23,3957260.0,377855.0,18.39,0.89,2.0
23,2020-12-01,2.11,4020169.0,400655.0,18.24,1.35,2.0
24,2021-01-01,2.14,4017481.0,295395.0,19.9,0.25,2.0
25,2021-02-01,2.23,4044845.0,313166.0,19.62,0.86,2.0
26,2021-03-01,2.13,4106449.0,406649.0,19.79,0.93,2.338709677419355
27,2021-04-01,2.19,4126914.0,378634.0,20.26,0.31,2.75
28,2021-05-01,2.33,4175472.0,401464.0,19.79,0.83,3.379032258064516
29,2021-06-01,2.27,4212400.0,426835.0,19.92,0.53,3.85
30,2021-07-01,2.31,4269669.0,418143.0,20.3,0.96,4.25
31,2021-08-01,2.31,4344165.0,437435.0,20.97,0.87,5.120967741935484
32,2021-09-01,2.28,4439121.0,451159.0,21.46,1.16,5.516666666666667
33,2021-10-01,2.28,4509925.0,432575.0,22.93,1.25,6.443548387096774
34,2021-11-01,2.31,4595047.0,464195.0,23.95,0.95,7.75
35,2021-12-01,2.3,4679575.0,505554.0,24.26,0.73,8.862903225806452
36,2022-01-01,2.45,4679385.0,411029.0,25.24,0.54,9.25
37,2022-02-01,2.51,4723686.0,402231.0,25.63,1.01,10.642857142857142
38,2022-03-01,2.59,4790359.0,516765.0,26.55,1.62,11.233870967741936
39,2022-04-01,2.66,4828886.0,462611.0,27.47,1.06,11.75
40,2022-05-01,2.72,4883798.0,507155.0,27.43,0.47,12.620967741935484
41,2022-06-01,2.66,4961785.0,507243.0,27.89,0.67,13.0
42,2022-07-01,2.77,4997242.0,490884.0,29.25,-0.68,13.25
43,2022-08-01,2.83,5068741.0,544987.0,28.63,-0.36,13.701612903225806
44,2022-09-01,2.85,5160236.0,532373.0,28.6,-0.29,13.75
45,2022-10-01,2.96,5211491.0,504821.0,29.71,0.59,13.75
46,2022-11-01,2.99,5278400.0,513458.0,30.55,0.41,13.75
47,2022-12-01,2.99,5358049.0,557031.0,29.68,0.62,13.75
48,2023-01-01,3.15,5365320.0,474572.0,30.54,0.53,13.75
49,2023-02-01,3.27,5364476.0,429479.0,30.48,0.84,13.75
50,2023-03-01,3.26,5417326.0,537184.0,30.99,0.71,13.75
51,2023-04-01,3.45,5419040.0,445999.0,31.62,0.61,13.75
52,2023-05-01,3.55,5446513.0,516564.0,31.63,0.23,13.75
53,2023-06-01,3.51,5472241.0,526364.0,30.84,-0.08,13.75
54,2023-07-01,3.54,5477495.0,500400.0,30.43,0.12,13.75
55,2023-08-01,3.51,5551565.0,557947.0,29.91,0.23,13.28225806451613
56,2023-09-01,3.44,5616177.0,548262.0,29.66,0.26,13.083333333333334
57,2023-10-01,3.46,5644764.0,542505.0,29.24,0.24,12.75
58,2023-11-01,3.43,5702348.0,553535.0,29.01,0.28,12.266666666666667
59,2023-12-01,3.18,5794196.0,598378.0,28.13,0.56,11.959677419354838
60,2024-01-01,3.26,5784313.0,534643.0,27.99,0.42,11.75
61,2024-02-01,3.26,5802794.0,506093.0,27.84,0.83,11.25
62,2024-03-01,3.2,5899857.0,569494.0,28.13,0.16,11.07258064516129
63,2024-04-01,3.24,5915624.0,568350.0,27.86,0.38,10.75
64,2024-05-01,3.26,5951817.0,575018.0,27.74,0.46,10.564516129032258
65,2024-06-01,3.17,6040221.0,593731.0,27.81,0.21,10.5
66,2024-07-01,3.17,6065265.0,619555.0,27.74,0.38,10.5
67,2024-08-01,3.21,6134688.0,626935.0,27.59,-0.02,10.5
68,2024-09-01,3.22,6216178.0,639036.0,27.48,0.44,10.6
69,2024-10-01,3.17,6274641.0,649021.0,27.93,0.56,10.75
70,2024-11-01,3.14,6365255.0,620001.0,28.44,0.39,11.15
71,2024-12-01,2.95,6462746.0,694703.0,28.5,0.52,11.89516129032258
72,2025-01-01,3.19,6464424.0,588774.0,29.86,0.16,12.314516129032258
73,2025-02-01,3.26,6518695.0,587696.0,30.42,1.31,13.25
74,2025-03-01,3.28,6579532.0,619922.0,31.16,0.56,13.637096774193548
75,2025-04-01,3.5,6630471.0,644258.0,31.41,0.43,14.25
76,2025-05-01,3.54,6665994.0,648124.0,31.59,0.26,14.637096774193548
77,2025-06-01,3.57,6703448.0,641203.0,31.71,0.24,14.85
78,2025-07-01,3.77,6732353.0,649575.0,31.58,0.26,15.0
79,2025-08-01,3.95,6772151.0,642786.0,31.71,-0.11,15.0
80,2025-09-01,3.91,6850359.0,699655.0,31.32,0.48,15.0
81,2025-10-01,4.0,6919371.0,690692.0,31.89,0.09,15.0
82,2025-11-01,4.01,6999002.0,651192.0,32.38,0.18,15.0
83,2025-12-01,4.03,7130222.0,802912.0,32.06,0.33,15.0
